fpr,tpr,threshold,sample_label
0.23630998871821574,0.7844164530152714,0.925,sensitivity_score_le_5
0.23743816714397292,0.7858655668264407,0.9230769230769232,sensitivity_score_le_5
0.23743816714397292,0.7859213019730242,0.9210526315789472,sensitivity_score_le_5
0.2375249500998004,0.7860327722661911,0.92,sensitivity_score_le_5
0.23847956261390263,0.7878720321034445,0.9166666666666666,sensitivity_score_le_5
0.2385663455697301,0.7880949726897781,0.9130434782608696,sensitivity_score_le_5
0.23908704330469496,0.7904915839928659,0.9090909090909092,sensitivity_score_le_5
0.23908704330469496,0.7907145245791997,0.9047619047619048,sensitivity_score_le_5
0.24038878764210708,0.7929996655891205,0.9,sensitivity_score_le_5
0.24047557059793456,0.7930554007357039,0.896551724137931,sensitivity_score_le_5
0.24056235355376204,0.7932226061754543,0.8947368421052632,sensitivity_score_le_5
0.24056235355376204,0.7933340764686211,0.8928571428571429,sensitivity_score_le_5
0.2417773149353467,0.7962880392375432,0.8888888888888888,sensitivity_score_le_5
0.24195088084700164,0.79639950953071,0.8823529411764706,sensitivity_score_le_5
0.24203766380282912,0.796510979823877,0.88,sensitivity_score_le_5
0.24203766380282912,0.7965667149704604,0.8787878787878788,sensitivity_score_le_5
0.2449015013451358,0.7995206777393824,0.875,sensitivity_score_le_5
0.24498828430096328,0.7995206777393824,0.8717948717948718,sensitivity_score_le_5
0.24498828430096328,0.7996878831791328,0.8695652173913043,sensitivity_score_le_5
0.24516185021261824,0.8001894994983837,0.8666666666666667,sensitivity_score_le_5
0.24524863316844572,0.8001894994983837,0.8648648648648649,sensitivity_score_le_5
0.24542219908010066,0.8003567049381339,0.8636363636363636,sensitivity_score_le_5
0.2481124707107524,0.8046483112250585,0.8571428571428571,sensitivity_score_le_5
0.24837281957823484,0.8046483112250585,0.85,sensitivity_score_le_5
0.2491538661806821,0.8054843384238101,0.8461538461538461,sensitivity_score_le_5
0.2491538661806821,0.8055958087169769,0.8421052631578947,sensitivity_score_le_5
0.2491538661806821,0.8056515438635604,0.8387096774193549,sensitivity_score_le_5
0.25297231623709104,0.8113922639616542,0.8333333333333334,sensitivity_score_le_5
0.25297231623709104,0.8114479991082376,0.8285714285714286,sensitivity_score_le_5
0.25297231623709104,0.8115594694014046,0.8260869565217391,sensitivity_score_le_5
0.2532326651045735,0.8118938802809051,0.8235294117647058,sensitivity_score_le_5
0.2532326651045735,0.8119496154274886,0.8214285714285714,sensitivity_score_le_5
0.25401371170702075,0.8125069668933229,0.8181818181818182,sensitivity_score_le_5
0.25410049466284823,0.8126741723330733,0.8125,sensitivity_score_le_5
0.2541872776186757,0.8127299074796567,0.8095238095238095,sensitivity_score_le_5
0.2542740605745032,0.8127299074796567,0.8064516129032258,sensitivity_score_le_5
0.25948103792415167,0.8196968008025861,0.8,sensitivity_score_le_5
0.25948103792415167,0.8197525359491695,0.7916666666666666,sensitivity_score_le_5
0.25956782087997915,0.8197525359491695,0.7894736842105263,sensitivity_score_le_5
0.25956782087997915,0.8198082710957529,0.7878787878787878,sensitivity_score_le_5
0.26000173565911655,0.8202541522684205,0.7857142857142857,sensitivity_score_le_5
0.26000173565911655,0.8203098874150039,0.782608695652174,sensitivity_score_le_5
0.26000173565911655,0.8203656225615873,0.78125,sensitivity_score_le_5
0.2613902629523562,0.8216475309330064,0.7777777777777778,sensitivity_score_le_5
0.26147704590818366,0.8217032660795898,0.7727272727272727,sensitivity_score_le_5
0.26173739477566604,0.8222048823988407,0.7692307692307693,sensitivity_score_le_5
0.2618241777314935,0.8223720878385911,0.7647058823529411,sensitivity_score_le_5
0.261910960687321,0.8224835581317579,0.7619047619047619,sensitivity_score_le_5
0.2619977436431485,0.8225392932783413,0.76,sensitivity_score_le_5
0.2704156903584136,0.8331847062757775,0.75,sensitivity_score_le_5
0.2705024733142411,0.8333519117155278,0.7368421052631579,sensitivity_score_le_5
0.2707628221817235,0.8335748523018616,0.7333333333333333,sensitivity_score_le_5
